,userid,itemid,rating,timestamp
266515,A02155413BVL8D0G7X6DN,B000ZYL5ZK,5.0,1351123200
782329,A02155413BVL8D0G7X6DN,B007VPM8LQ,1.0,1351123200
803121,A02155413BVL8D0G7X6DN,B008M9VAP0,2.0,1351123200
269675,A02155413BVL8D0G7X6DN,B0010WAXN6,5.0,1351555200
742279,A02155413BVL8D0G7X6DN,B006TJUMKY,5.0,1351555200
793807,A02155413BVL8D0G7X6DN,B008A40VD4,5.0,1352764800
692856,A02155413BVL8D0G7X6DN,B005FWCEGG,5.0,1354752000
396410,A02155413BVL8D0G7X6DN,B00280UGFE,5.0,1356739200
740533,A02155413BVL8D0G7X6DN,B006SFUEF2,5.0,1357344000
802033,A02155413BVL8D0G7X6DN,B008KOC31W,5.0,1357344000
478844,A02155413BVL8D0G7X6DN,B0030CFZUK,5.0,1358467200
669529,A02155413BVL8D0G7X6DN,B0051POJC4,5.0,1361491200
686746,A02155413BVL8D0G7X6DN,B005BW1RL8,4.0,1361491200
779957,A02155413BVL8D0G7X6DN,B007U1QX4O,4.0,1361491200
800768,A02155413BVL8D0G7X6DN,B008K0TMR4,2.0,1362009600
816116,A02155413BVL8D0G7X6DN,B0093OAMKW,4.0,1362009600
650886,A02155413BVL8D0G7X6DN,B004TF1SLW,5.0,1362355200
717155,A02155413BVL8D0G7X6DN,B005YI3LV8,5.0,1364169600
820259,A02155413BVL8D0G7X6DN,B009B3SQM6,5.0,1366156800
8368,A02155413BVL8D0G7X6DN,B000056C86,5.0,1367366400
866324,A02155413BVL8D0G7X6DN,B00BUGAYVS,5.0,1367366400
106751,A02155413BVL8D0G7X6DN,B0009RG8XW,5.0,1367625600
686128,A02155413BVL8D0G7X6DN,B005AZI1S8,3.0,1368057600
155274,A02155413BVL8D0G7X6DN,B000GKU7C0,5.0,1368662400
638616,A02155413BVL8D0G7X6DN,B004NONY8E,5.0,1369180800
886735,A02155413BVL8D0G7X6DN,B00E1A68P6,5.0,1385596800
895457,A02155413BVL8D0G7X6DN,B00F2MQC1C,5.0,1392163200
792462,A02155413BVL8D0G7X6DN,B00881G368,5.0,1392940800
